,trial_no,condition,item,response_text,vectors,nobs,avg_pw_dist,max_pw_dist,median_pw_dist,mean_cent_dist
0,1,f_l,bottle,"['Fill it up with a little bit of sand or dirt from each place you travel so you can carry a bit of the world with you', 'to pickle tiny cucumbers. ', 'Turn into a kaleidoscope', 'A fizzy bottled water subscriptions service that allows reuse, reduces wastage and pollution and creates a circular economy', 'Paint it and use it as a vase', 'A teranium']","[[ 0.0997631   0.04358197  0.0433732  ... -0.111112   -0.08295056
   0.02573552]
 [-0.06017957  0.07091483 -0.06295193 ...  0.08687779  0.04714114
   0.09923523]
 [-0.018265    0.00684278 -0.03933166 ...  0.04069311  0.04594791
  -0.01097065]
 [-0.10910029 -0.0072712   0.07780473 ...  0.01947551  0.09727985
   0.09029432]
 [ 0.04702752  0.11435772  0.0949154  ...  0.01884681 -0.05138956
   0.07624159]
 [-0.07814457  0.12203415 -0.10050482 ...  0.04077319  0.05254677
   0.0434561 ]]",6,0.7998482858835946,0.9584083603750869,0.7910057747736368,0.42254025095798203
1,1,f_l,pants,"['Snake playground', 'cut up and made into bunting', 'Using them as an emergency sail for a boat', 'gloves', 'to play tug of war with a pup', 'turned into cushion covers ', 'as a playtunnel for a ferret']","[[ 0.02172066  0.04468165  0.03119808 ...  0.04128384  0.01253215
   0.04018097]
 [ 0.02080737  0.08245385  0.0363427  ... -0.09467113  0.05434601
   0.05222042]
 [-0.05631642  0.00113254  0.01889184 ...  0.0170664   0.02048453
   0.03183255]
 ...
 [-0.04007192  0.02073143  0.07876543 ...  0.03561908  0.01289236
   0.0995705 ]
 [-0.0232567   0.07012033  0.01992558 ... -0.04847766  0.11983448
   0.09276727]
 [ 0.00752211  0.04848511 -0.00316608 ... -0.07970792  0.06040302
   0.03244138]]",7,0.7907196031907644,0.930483772896829,0.8025473471717486,0.43233782923097525
2,1,f_l,shoe,"['Use for painting', 'Desk tidy', 'Door knocker', ""Memento for all the places you've walked"", 'Hammer nails', 'take out plastic portions and reshape to be a bottle cover/koozie', 'try to float it as a toy boat']","[[-0.06119306  0.05980204  0.05819726 ...  0.03272623  0.04934252
   0.03443688]
 [-0.06558536  0.04043841  0.0256413  ...  0.01799022 -0.01234575
   0.0115694 ]
 [-0.043767    0.03132566  0.04092722 ...  0.06119842  0.06834625
   0.05676701]
 ...
 [-0.05857936  0.0446333  -0.05181609 ... -0.07552198 -0.05695989
  -0.00365242]
 [-0.08213955  0.06965199  0.01754075 ... -0.08776297  0.03402745
   0.04923008]
 [ 0.02620679  0.0326342   0.07843746 ... -0.01938649 -0.00016598
   0.07360687]]",7,0.8766293062918246,0.9908375364186829,0.8702709861855705,0.5013985040637521
3,1,f_l,table,"['A midget wrestling ring by turning it upside down and putting ropes between the legs', 'block the door to keep your mom out', 'Draw some lines on it and make it a giant chessboard', 'Shell for a giant man-tortoise', 'Table is a horse', 'Turn over and use as a play raft', 'Turn around and use a fitness device']","[[-0.10112147  0.08418642 -0.03290615 ... -0.03748301 -0.02746044
   0.04796321]
 [ 0.06833126 -0.03261704  0.08747367 ...  0.04647818  0.03336654
   0.04171535]
 [-0.04368228  0.03960812  0.01088221 ...  0.00790524 -0.04797383
   0.00709047]
 ...
 [ 0.03048153  0.10185337  0.00758018 ...  0.04000654 -0.02620877
   0.00990343]
 [ 0.02862048  0.02095371  0.00188622 ... -0.04061192  0.01798099
   0.06203197]
 [ 0.02462793  0.01590222  0.0007141  ... -0.00471017  0.01306491
   0.03137814]]",7,0.8082095811161446,1.0091280551115795,0.7991259052249957,0.44569960267750564
4,1,f_l,tire,"['Fill with water and swing it, demonstrate centrifugal force', 'cut in half and convert into outdoor seats', 'Floating device', 'Get four, attach to platform, and finally allow sharks to experience land', 'Diy toilet seat', 'make planters to put around trees to keep dogs from peeing on the tree trunk', 'Cut it in half and use it to funnel rainwater into a barrell']","[[-0.00814988 -0.01545045  0.02306649 ...  0.10937292 -0.00826869
   0.00115255]
 [ 0.06835947  0.09166527  0.03903653 ...  0.06457862 -0.03490261
   0.01196229]
 [ 0.05001193  0.07856972  0.01259448 ...  0.04538838  0.07736478
   0.09424108]
 ...
 [-0.01638654  0.01100234 -0.04202481 ...  0.03035285  0.03275023
   0.04563817]
 [-0.01652266  0.02164671  0.08305719 ...  0.02955748  0.02503795
   0.10307508]
 [-0.01460572  0.09077615  0.00990648 ... -0.02997106  0.0265389
   0.04017439]]",7,0.8022123527767303,0.9577632209184391,0.8438735625707936,0.4410819273760604
5,1,f_u,bottle,"['make an instrument out of it', 'make music', 'Fill with hydrogen, hold a match up to it, and explode it ', 'make believe telescope', 'hummingbird feeder', 'Put in front of a camera to take abstract photographs']","[[-0.01197592  0.06032497  0.05191195 ...  0.01293226  0.12945326
   0.02501934]
 [ 0.03187095 -0.04985103  0.05814328 ...  0.03549053  0.09327703
  -0.02177323]
 [-0.05989754  0.1076625  -0.00295361 ... -0.00504626  0.02820057
   0.01949942]
 [ 0.03089999 -0.05045575 -0.00625967 ...  0.0682998  -0.01333624
   0.016751  ]
 [-0.03590856  0.02867254  0.00356009 ...  0.07929478 -0.07311597
   0.13974853]
 [ 0.03853849  0.07614759 -0.02991005 ...  0.01714806 -0.01838902
   0.0286712 ]]",6,0.8355502476576991,0.9811359400674532,0.8660065947846041,0.44890279718373033
6,1,f_u,pants,"['trap to catch small animals', 'Use brand names to identify wealthy people for potentially good theft targets', 'tie up leg ends and use as a fun and quirky shopping bag', 'Attach to stick and use as a mop', ""emergency lifevest when you've fallen overboard"", 'keep pipes from freezing', 'puppet ']","[[ 0.05486102  0.04256899  0.0541185  ... -0.01462645 -0.01922476
   0.04968364]
 [-0.01005685 -0.00880983 -0.0542849  ... -0.07193357 -0.00785155
   0.00714083]
 [-0.04850537  0.06451705  0.03592794 ... -0.07545004 -0.067489
  -0.01639244]
 ...
 [ 0.03903379 -0.021722    0.05284745 ... -0.00798681  0.01055816
  -0.00790015]
 [-0.04695009 -0.01592486 -0.00406054 ... -0.05599394  0.01778385
   0.02271606]
 [-0.0839844   0.01874376  0.06184359 ...  0.01499749  0.01931752
  -0.03385701]]",7,0.8860391116941586,1.0270179862617115,0.899544156044062,0.509553362472379
7,1,f_u,shoe,"['make shoe fly pie with a real authentic shoe', 'Beer opener.', 'Hydrohpile Shoes that let u walk on water and adapt to any ground u stand on', 'Art piece', 'a bird house', 'Create a community art project with a shoe mural on a building', 'art on the wall']","[[-0.08083186  0.02771645  0.016591   ...  0.01787692 -0.00245719
   0.0571566 ]
 [-0.0104831   0.02972374 -0.0826216  ...  0.02253934  0.05391534
   0.02381427]
 [-0.10827272  0.01435623  0.01865166 ... -0.06495424  0.0308972
   0.08583808]
 ...
 [ 0.08106842  0.0308158   0.02631699 ...  0.07166874 -0.06530487
   0.05305013]
 [-0.02655802 -0.00469264  0.08770429 ... -0.04431371 -0.0787588
   0.00418707]
 [ 0.02378786  0.07424701  0.04504861 ... -0.00501202 -0.04360861
   0.03276287]]",7,0.7646135479717122,1.0668975190282386,0.781247235674726,0.4129591505854223
8,1,f_u,table,"['Barricade', 'a bullet shield to hide behind and shoot around', 'Table flat on its back, can be filled with cushions and pillows and covered with a canopy to make a fort', 'A large surfing board', 'lash it to the hood of your car to use as a snow plow', 'grooming cage']","[[-0.01198613  0.0434947  -0.00326905 ... -0.02022534  0.00988445
   0.10266874]
 [ 0.00913696  0.10500094 -0.05591537 ... -0.03814425  0.01001317
   0.09502096]
 [ 0.07215966  0.06676389  0.00671891 ...  0.02643307  0.00374414
   0.04805191]
 [ 0.03474509 -0.04107291  0.00153553 ...  0.00249949 -0.0380386
   0.0212491 ]
 [-0.00867287  0.03104861 -0.01190577 ... -0.03114313 -0.03473988
   0.04724945]
 [ 0.00401756  0.09228478  0.00019237 ... -0.07952432 -0.01178407
  -0.0261691 ]]",6,0.8286544710340933,0.9400380735792335,0.8453809370316353,0.44371355627555653
9,1,f_u,tire,"['House for a small animal', 'pipes', 'Table', 'To jump inside and roll down a hill', 'Mouse gym', 'A ring for a giant', 'boundary for a sandpit']","[[ 0.06499982  0.03529058  0.03385131 ...  0.01674161 -0.02167634
   0.09131045]
 [-0.02863977  0.02286777  0.04112405 ...  0.06792092  0.03197864
  -0.03354413]
 [-0.03269066  0.04026342 -0.00495043 ...  0.04398652 -0.08979987
   0.08936904]
 ...
 [-0.00806787 -0.05813621  0.03030422 ... -0.01247808 -0.0005577
   0.00804398]
 [-0.05782712  0.0763597  -0.09416049 ... -0.05397021 -0.00157593
   0.04571681]
 [ 0.08444729  0.09592641  0.06707244 ...  0.05292549  0.01129886
   0.02917168]]",7,0.8697680092549486,1.0045361777964816,0.8771993021472445,0.4955353694303653
